"Currency exchanges","Precious &amp; Base Metals/Coins","http://gold2bitcoins.com","Gold to Bitcoins","2017-02-01"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcoin-24.com","Bitcoin-24.com","2017-02-05"
"Currency exchanges","Fixed rate","http://centraw.com/","Centraw","2017-02-05"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcointalk.org/index.php?topic=89757.msg996082#msg996082","BitPay","2017-02-05"
"Currency exchanges","Real-time Trading","https://www.snapswap.vc","SnapSwap","2017-02-01"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://bitdeposit.net","Bitdeposit","2017-02-05"
"Currency exchanges","Fixed rate","https://bips.me/","BIPS","2017-02-01"
"Currency exchanges","Gift/Debit Cards","http://BitcoinCodes.com","BitcoinCodes","2017-02-01"
"Currency exchanges","Real-time Trading","http://btc.sx/","BTC.sx","2017-02-05"
"Currency exchanges","Fixed rate","https://bitcointalk.org/index.php?topic=88320.0","Mang Sweeney","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://easywallet.org","Easywallet.org","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","http://www.flexcoin.com","Flexcoin","2017-02-05"
"Financial","Equities","https://btct.co/","BTC-TC","2017-02-05"
"Currency exchanges","Real-time Trading","https://www.therocktrading.com/rock/currency_exchange","The Rock Currency Exchange","2017-02-05"
"Financial","Interest on Bitcoin","https://coinlenders.com","CoinLenders","2017-02-01"
"Financial","Contracts","http://www.minerlease.com","MinerLease","2017-02-05"
"Financial","Equities","https://cryptostocks.com","CryptoStocks","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.chariottrading.com/bitcoin.html","Chariot Trading Company","2017-02-05"
"Financial","Equities","https://coinbr.com","CoinBr.com","2017-02-05"
"Currency exchanges","Local/In-Hand Exchanges","http://www.bitcoinlocator.com/","Bitcoinlocator","2017-02-01"
"Currency exchanges","Real-time Trading","https://intersango.com/","Intersango (formerly britcoin)","2017-02-01"
"Currency exchanges","Fixed rate","http://liliontransfer.org/","Lilion Transfer","2017-02-01"
"Currency exchanges","Gift/Debit Cards","http://www.spendbitcoins.com","Spend Bitcoins","2017-02-05"
"Currency exchanges","Fixed rate","http://bitcoin.hu/","bitcoin.hu","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://bitcoincommodities.com","BitCoinCommodities","2017-02-05"
"Currency exchanges","Fixed rate","http://www.nanaimogold.com/","Nanaimo Gold","2017-02-05"
"Currency exchanges","Fixed rate","http://valutapay.com","ValutaPay Corporation","2017-02-05"
"Currency exchanges","Local/In-Hand Exchanges","http://BTCspot.com/","BTCspot","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://www.strongcoin.com","StrongCoin","2017-02-01"
"Financial","Forex","http://www.bit4x.com","Bit4X","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","https://www.wisermetals.com/","WiserMetals.com","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bullionbit.com","Bullionbit.com","2017-02-05"
"Currency exchanges","Fixed rate","https://www.bitservicex.com/","BitServiceX","2017-02-01"
"Currency exchanges","Fixed rate","http://schweinehaus.de/2011/01/08/die-bitcoin-p2p-krypto-wahrung/","Schweinehaus.de","2017-02-01"
"Currency exchanges","Fixed rate","http://bahtcoin.com/","Bahtcoin","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://goldexpert.com","GoldExpert.com","2017-02-01"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://coinb.in","Coinb.in","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.btcag.co","BTCAg","2017-02-05"
"Currency exchanges","Real-time Trading","https://xcfd.com","xCFD","2017-02-05"
"Currency exchanges","Fixed rate","https://i-co.in","iCoin","2017-02-01"
"Currency exchanges","Fixed rate","https://bitpiggy.herokuapp.com/","BitPiggy","2017-02-01"
"Currency exchanges","Fixed rate","https://bitcoinnordic.com","Bitcoin Nordic","2017-02-05"
"Currency exchanges","Fixed rate","https://coinbase.com/","Coinbase","2017-02-05"
"Currency exchanges","Fixed rate","http://btcx.se/","btcx.se","2017-02-05"
"Currency exchanges","Real-time Trading","http://otcexchange.net/","OTC Exchange","2017-02-05"
"Currency exchanges","Real-time Trading","https://www.virwox.com","VirWoX","2017-02-05"
"Financial","Lending","https://www.bitbond.net/","Bitbond.net","2017-02-05"
"Currency exchanges","Fixed rate","https://www.bitinstant.com/","Bitinstant","2017-02-01"
"Currency exchanges","Real-time Trading","https://bitcoin-24.com/","Bitcoin-24","2017-02-05"
"Financial","Contracts","https://cex.io/","cex.io","2017-02-05"
"Currency exchanges","Fixed rate","http://www.bitcoinsnow.com.au","Bitcoins Now","2017-02-05"
"Currency exchanges","Real-time Trading","https://bitbox.mx/","BitBox","2017-02-01"
"Currency exchanges","Fixed rate","https://dgtmkt.com","dgtmkt","2017-02-01"
"Currency exchanges","Gift/Debit Cards","http://bit-host.tk/?wiki","Bit-Host","2017-02-05"
"Financial","Forex","http://www.liteforex.com","LiteForex","2017-02-05"
"Currency exchanges","Anonymous Exchanges","http://bitcash.pythonanywhere.com/","BitCash","2017-02-01"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://paytunia.com","Paytunia","2017-02-01"
"Financial","Stocks","http://www.bitcoinstockexchange.org","Bitcoin Stock Exchange","2017-02-05"
"Currency exchanges","Real-time Trading","https://bitnz.com/","bitNZ","2017-02-05"
"Currency exchanges","Gift/Debit Cards","http://www.btcinstant.com","BTCinstant","2017-02-05"
"Currency exchanges","Gift/Debit Cards","http://xbit.me","Xbit","2017-02-01"
"Currency exchanges","Gift/Debit Cards","http://globalstandardbank.com/Global_Standard/Global_Standard_Bank_BitCard.html","BitCards from Global Standard Bank","2017-02-05"
"Currency exchanges","Fixed rate","http://bitcoinplus.mx/","Bitcoin Plus Mexico","2017-02-05"
"Currency exchanges","Real-time Trading","https://mtgox.com/","MtGox","2017-02-01"
"Financial","Futures","https://icbit.se","ICBIT","2017-02-01"
"Financial","Forex","http://500plusforex.com","Plus500","2017-02-05"
"Currency exchanges","Fixed rate","http://tl.gd/igqt0i","Intrade Tx","2017-02-05"
"Financial","Forex","http://www.firstnationalib.com/","FNIB","2017-02-05"
"Currency exchanges","Fixed rate","http://www.bitcoinmalaysia.com/","BitcoinMalaysia","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.bitsilver.us","BitSilver.US","2017-02-01"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.amagimetals.com","AmagiMetals.com","2017-02-05"
"Financial","Options","http://btclevels.com/","BTClevels","2017-02-05"
"Currency exchanges","Anonymous Exchanges","http://toratm3dhalotm3f.onion/","TorATM","2017-02-01"
"Currency exchanges","Real-time Trading","https://exante.eu/products/BTC/","EXANTE Bitcoin Fund","2017-02-01"
"Currency exchanges","Real-time Trading","https://www.fybsg.com/","FYB-SG","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://coinabul.com/","Coinabul.com","2017-02-01"
"Currency exchanges","Real-time Trading","https://www.WeExchange.co","WeExchange.co","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://www.casascius.com","Casascius Physical Bitcoins","2017-02-05"
"Currency exchanges","Real-time Trading","https://vircurex.com/","Vircurex","2017-02-05"
"Currency exchanges","Gift/Debit Cards","https://www.sellbitcoinforcash.com","sell BTC for $$$","2017-02-01"
"Currency exchanges","Fixed rate","http://bitcoin.in.th/","Bitcoin.in.th","2017-02-05"
"Currency exchanges","Gift/Debit Cards","http://giftsforcoins.com","GiftsForCoins.com","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://bitcoinera.net/","Bitcoinera.net","2017-02-05"
"Bitcoin eWallets","Bitcoin Banking and Ewallets","https://bips.me","BIPS","2017-02-01"
"Currency exchanges","Bulk/Large-sized Trades","https://bitcointalk.org/index.php?topic=87094.0","Bitcoins Direct","2017-02-05"
"Currency exchanges","Precious &amp; Base Metals/Coins","http://shiresilver.com","Shire Silver","2017-02-05"
